7,1320,32.6,758
1,1410,38.0,829
2,1050,37.1,1010
3,1020,34.2,994
4,1020,34.5,970
5,840,35.6,997
6,1020,33.9,921
7,900,37.8,944
1,1410,38.4,921
2,840,38.5,1148
3,810,37.0,1168
4,840,37.8,1205
5,810,38.4,1231
6,900,37.1,1074
7,840,36.3,1008
1,60,33.0,847
2,780,29.0,817
3,780,15.8,742
4,1305,23.5,775
5,1290,31.6,822
6,720,32.9,882
7,780,34.1,847
1,1410,33.3,828
2,1320,32.9,907
3,780,34.0,1003
4,780,33.7,846
5,1275,26.4,727
6,1275,30.7,773
7,1290,34.6,810
1,1305,35.6,802
2,1275,31.6,809
3,1020,36.3,925
4,960,32.7,880
5,780,31.0,858
6,1290,29.9,784
7,60,20.2,675
1,1290,28.8,666
2,1290,32.5,805
3,1275,35.4,877
4,1020,36.5,919
5,780,34.9,920
6,720,25.1,765
7,1290,26.2,707
1,1290,31.4,696
2,1290,35.5,854
3,1260,37.4,937
4,1260,33.6,914
5,1050,32.9,903
6,1050,35.1,934
7,60,31.2,826
1,1305,31.3,750
2,1275,19.5,724
3,1305,22.4,730
4,1275,24.2,709
5,1275,26.8,730
6,1245,31.8,764
7,1245,34.5,812
1,1275,31.1,716
2,1290,30.4,734
3,1290,35.0,792
4,1260,31.9,860
5,1245,35.3,908
6,1260,32.5,885
7,60,27.9,774
1,1275,28.6,736
2,1260,30.0,814
3,1260,31.9,865
4,1245,25.7,799
5,1275,27.7,815
6,1230,26.4,784
7,1245,30.9,763
1,1305,28.7,718
2,1230,34.9,814
3,1260,33.0,842
4,1245,35.0,862
5,1245,28.7,810
6,1245,25.5,773
7,1245,26.2,734
1,1305,26.0,708
2,1245,28.6,790
3,1260,29.4,811
4,780,33.4,782
5,1290,23.5,753
6,1245,25.5,752
7,1245,29.2,730
1,1275,31.4,694
2,1230,32.5,800
3,1215,31.4,776
4,1215,18.7,774
5,1245,22.5,770
